code,cx,cy,areaName,VeryBadHealth,BadHealth,FairHealth,GoodHealth,VeryGoodHealth,H>15,H16_30,H31_48,H<49
E07000240,514439.87789348257,209484.20418359496,St Albans,0.7,2.5,9.6,31.3,55.9,8037,12552,40974,11308
E07000241,524695.5431823792,209207.18533372544,Welwyn Hatfield,0.9,3.4,11.9,34.6,49.3,6773,10529,34414,6433
E07000242,537205.0331298655,220363.43301673545,East Hertfordshire,0.7,2.7,10.4,32.9,53.4,8653,13325,44328,10218
E07000243,524556.8495360822,224523.3823063104,Stevenage,1.1,4.1,13.8,35.9,45.1,4066,8221,29016,4154
E07000244,636456.1708329461,265498.95580038894,East Suffolk,1.0,4.0,13.1,35.2,46.8,13502,23342,56377,13144
E07000245,578958.7259020113,267627.1938458232,West Suffolk,0.9,3.4,12.3,35.6,47.8,8639,15970,53528,11482
E07000246,304669.5441483197,132836.47185424765,Somerset West and Taunton,0.9,3.7,12.5,34.5,48.4,8010,15614,40916,8754
E08000001,369187.80564093974,409212.7989813928,Bolton,1.6,5.1,14.1,33.7,45.5,11725,27750,75764,10199
E08000002,379434.08808702393,410154.16189170413,Bury,1.3,4.5,13.7,33.6,46.9,8126,18005,54514,7838
E08000003,384646.50136581337,394925.0860220628,Manchester,2.2,6.6,15.8,32.3,43.2,25672,48753,142505,17353
E08000004,396670.69407002727,406156.4810458007,Oldham,1.6,5.5,15.5,34.0,43.4,9088,22246,59308,7564
E08000005,389642.5098718529,413330.4445902638,Rochdale,1.5,5.5,15.0,33.8,44.1,8024,19554,59047,7834
E08000006,375502.9168723525,399265.3614949445,Salford,1.7,5.7,14.6,32.9,45.1,11306,23988,81921,10391
E08000007,391575.7865822961,388558.88078290026,Stockport,1.2,4.0,12.5,32.9,49.3,13170,27032,86908,12697
E08000008,395936.394083433,397900.2048073787,Tameside,1.6,5.4,15.1,34.2,43.8,8523,20690,68222,8219
E08000009,376531.7406734588,391462.86232155457,Trafford,1.1,3.7,11.8,31.8,51.5,10658,20998,68817,11085
E08000010,361034.4599715032,403241.8164529902,Wigan,1.4,4.9,14.2,33.6,45.9,12340,29585,98905,13784
E08000011,344695.6827486487,392430.31732437486,Knowsley,2.2,6.8,14.7,30.6,45.7,5416,14661,44340,5075
E08000012,339134.92648051947,389143.50819383765,Liverpool,2.3,6.9,14.9,31.3,44.6,21722,43205,125475,15348
E08000013,352122.27543318004,396103.06378235336,St. Helens,1.7,5.7,14.4,32.7,45.5,6605,15741,52995,7282
E08000014,332845.79654959706,408173.79807436146,Sefton,1.5,4.9,13.3,31.9,48.4,12151,26895,74317,11234
E08000015,327407.38095635653,386272.74010582565,Wirral,1.6,5.3,13.6,32.1,47.4,13409,29540,84595,11959
E08000016,431087.1775623462,404469.7173363669,Barnsley,1.7,5.8,15.6,33.8,43.2,9142,22850,68527,11161
E08000017,460043.50127128593,405683.10356784466,Doncaster,1.6,5.3,14.8,34.4,43.9,11361,28521,83659,14317
E08000018,447557.9167729183,390468.4061907424,Rotherham,1.6,5.4,14.8,34.4,43.7,9993,25040,71465,11305
E08000019,430009.2580749716,389797.72766639304,Sheffield,1.5,5.1,14.5,34.4,44.5,25656,54640,142795,18916
E08000021,421984.55333363847,568194.2419756928,Newcastle upon Tyne,1.8,5.7,15.0,33.0,44.6,14916,26898,72848,10415
E08000022,430939.5097477368,570503.1603234638,North Tyneside,1.3,4.7,14.2,33.3,46.6,7898,20231,60931,8205
E08000023,435717.86089330225,563348.813788942,South Tyneside,1.7,5.7,15.1,33.1,44.4,5108,13427,38273,5700
E08000024,435241.863864196,554111.0598656393,Sunderland,1.8,6.0,15.6,33.1,43.6,9391,25313,73524,8924
E08000025,408619.6212346715,287849.3096940241,Birmingham,1.8,5.6,15.7,34.6,42.3,49418,96764,261443,34793
E08000026,432739.00942534,280037.72157119366,Coventry,1.5,4.8,14.3,34.9,44.5,14424,28615,95752,11352
E08000027,392753.56578470586,287252.7381831706,Dudley,1.3,4.7,14.5,35.9,43.6,13105,29703,88508,13324
E08000028,399516.408784443,290880.02318865224,Sandwell,1.8,6.0,16.4,35.1,40.8,12726,29568,87725,11053
E08000029,418612.561191179,279457.8156532293,Solihull,1.1,3.7,12.0,33.7,49.5,9825,18037,59863,10214
